Key,Id,Shared Comments,Korean(ko),Korean(ko) Comments,English(en),English(en) Comments,Japanese (Japan)(ja-JP),Japanese (Japan)(ja-JP) Comments
Train_Turret_Name_1,27644713357328,,미사일 포탑,,Missile Turret,,ミサイル砲塔です,
Train_Turret_Name_2,27644713357329,,레이저 포탑,,Laser Turret,,レーザータレットです,
Train_Turret_Name_3,27644713357330,,폭탄 풍선 발사대,,Bomb Balloon Launch Pad,,爆弾風船発射台,
Train_Turret_Name_4,27644713357331,,화염 방사 포탑,,Flame-Spinning Turret,,炎を紡ぐ砲塔です,
Train_Turret_Name_5,27644713357332,,발리스타,,Ballista,,バリスタです,
Train_Turret_Name_6,27644713357333,,요격 미사일 포탑,,Interceptor Missile Turret,,迎撃ミサイル砲塔です,
Train_Turret_Name_7,27644713357334,,플레어 발사대,,Flare Launch Pad,,フレア起動パッドです,
Train_Turret_Information_0,27644713357335,,자동으로 적을 사격합니다. 공격력은 낮지만 공격범위가 넓습니다.,,"It shoots enemies automatically. It has low attack power, but it has a wide range of attacks.",,自動的に敵を射撃します。 攻撃力は低いですが、攻撃範囲が広いです。,
Train_Turret_Information_1,27644713357336,,"랜덤한 적 하나를 지정후, 적이 죽을 때 까지 미사일을 발사합니다.",,"Specify one random enemy, then fire a missile until the enemy dies.",,ランダムな敵1つを指定後、敵が死ぬまでミサイルを発射します。,
Train_Turret_Information_2,27644713357337,,적들을 관통하는 레이저를 발사합니다.,,It fires a laser that penetrates the enemy.,,敵を貫通するレーザーを発射します。,
Train_Turret_Information_3,27644713357338,,"폭탄을 실은 풍선을 날립니다. 터지는 범위는 넓지만, 날아가는 속도는 느립니다.",,"It flies a balloon carrying a bomb. It has a wide range of bursts, but it is slow to fly.",,爆弾を積んだ風船を飛ばします。 爆発する範囲は広いですが、飛ぶ速度は遅いです。,
Train_Turret_Information_4,27644713357339,,"지속 피해를 줄 수 있는 포탑입니다. 하지만 타켓팅이 없으며, 장전하는 속도는 느립니다.",,"It's a turret that can do lasting damage. But there's no targeting, and it's slow to load.",,持続ダメージを与えることができる砲塔です。 しかし、ターケッティングがなく、装填する速度は遅いです。,
Train_Turret_Information_5,27644713357340,,거대한 석궁이 장착되어 있습니다. 일정확률로 불이 붙은 화살이 발사됩니다.,,It is equipped with a huge crossbow. A lit arrow is fired at a certain probability.,,巨大な石弓が装備されています。 一定確率で火のついた矢が発射されます。,
Train_Turret_Information_6,27644713357341,,요격 미사일 포탑이 장착되어 있습니다. 적의 공격을 맞춰 무효화합니다.,,Equipped with an interceptor missile turret. Invalidates in time for enemy attacks.,,迎撃ミサイル砲塔が装備されています。 敵の攻撃を合わせて無効化します。,
Train_Turret_Information_7,27644713357342,,랜덤한 곳으로 플레어탄을 발사하여 넓은 범위의 공격을 무효화합니다.,,Fire flares to random places to negate wide range of attacks.,,ランダムな場所にフレア弾を発射して、広い範囲の攻撃を無効にします。,
Train_Booster_Name_0,27644713357343,,프로펠러 엔진,,Propeller Engine,,プロペラエンジン,
Train_Booster_Name_1,27644713357344,,1단 미사일 부스터,,First-Stage Missile Booster,,1段ミサイルブースター,
Train_Booster_Name_2,27644713357345,,2단 미사일 부스터,,Two-Stage Missile Booster,,2段ミサイルブースター,
Train_Booster_Name_3,27644713357346,,3단 미사일 부스터,,Three-Stage Missile Booster,,3段ミサイルブースター,
Train_Booster_Name_4,27644717551616,,제트 엔진,,Jet Engine,,ジェットエンジン,
Train_Booster_Information_0,27644717551617,,"선풍기에 영감을 받고 만든 프로펠러 엔진, 효과는 미미하다.",,"Fan-inspired propeller engine, with minimal effect.",,扇風機にインスピレーションを受けて作ったプロペラエンジン、効果は微々たるものだ。,
Train_Booster_Information_1,27644717551618,,미사일을 불법개조하여 만든 부스터.,,A booster made from illegal modification of a missile.,,ミサイルを不法改造して作ったブースター。,
Train_Booster_Information_2,27644717551619,,"미사일을 불법개조하여 만든 부스터를 개선하였다, 1단계 보다 더 나은 효과를 가집니다. ",,"Improved the booster made by illegally remodeling the missile, better than the first stage.",,ミサイルを違法改造して作ったブースターを改善した、第1段階よりも優れた効果を持ちます。,
Train_Booster_Information_3,27644717551620,,불법개조로 만든 미사일을 조금 더 개선하였다. 2단계 보다 빠르지만 연료소비량이 늘어났다.,,"The missile made from illegal modification was improved a little more. It is faster than the second stage, but fuel consumption has increased.",,違法改造で作ったミサイルをもう少し改善した。 2段階より早いが、燃料消費量が増えた。,
Train_Booster_Information_4,27644717551621,,어디에서 가져온지 모르겠는 제트 엔진. 연료소비량이 상당하지만 효과는 보장된다.,,Jet engine I don't know where it comes from. Fuel consumption is significant but the effectiveness is guaranteed.,,どこから持ってきたのかわからないジェットエンジン。 燃料消費量は相当だが、効果は保障される。,
Mercenary_Name_0,27644717551622,,기관사,,Engine Driver,,エンジンドライバーです,
Mercenary_Name_1,27644717551623,,엔지니어,,Engineer,,記事です。,
Mercenary_Name_2,27644717551624,,스나이퍼,,Sniper,,スナイパー,
Mercenary_Name_3,27644717551625,,전사,,Warrior,,ウォーリアーです,
Mercenary_Name_4,27644717551626,,의사,,Doctor,,お医者さんです。,
Mercenary_Name_5,27644717551627,,음유시인,,Bard,,バード,
Mercenary_Name_6,27644717551628,,카우보이,,CowBoy,,カウボーイです,
Mercenary_Information_0,27644717551629,,"기차의 성능을 상향시킵니다. 최대속력, 방어력, 연료소모 감소 중 하나의 효과를 선택하여 적용 가능합니다.",,"Increases the performance of the train. It can be applied by selecting one of the effects of maximum speed, defense, and fuel consumption reduction.",,電車の性能を高めます。 最大速力、防御力、燃料消耗減少のいずれかの効果を選択して適用可能です。,
Mercenary_Information_1,27644717551630,,수리가 필요한 차량을 수리합니다. Q를 눌러 플레이어의 위치로 호출이 가능합니다.,,Repair the vehicle that needs to be repaired. Call to the player's location by pressing Q.,,修理が必要な車を修理します。 Qを押してプレイヤーの位置に呼び出すことができます。,
Mercenary_Information_2,27644717551631,,저격소총을 이용하여 적 하나에게 높은 데미지를 줄 수 있습니다.,,You can use a sniper rifle to do high damage to one enemy.,,狙撃小銃を利用して、敵1人に高いダメージを与えることができます。,
Mercenary_Information_3,27644717551632,,"적에게 근접하여 싸우는 용병입니다, 공중보다 지상의 적에게 효과가 좋습니다.",,"A mercenary who fights close to enemies, works better for enemies on the ground than in the air.",,敵に近接して戦う傭兵です、空中より地上の敵に効果があります。,
Mercenary_Information_4,27644717551633,,부상을 입은 용병을 치료합니다. ,,Treating wounded mercenaries.,,負傷した傭兵を治療します。,
Mercenary_Information_5,27644717551634,,노래를 통해 플레이어와 용병에게 이로운 효과를 줍니다.,,The song has a beneficial effect on players and mercenaries.,,歌を通じてプレイヤーと傭兵に有益な効果を与えます。,
Mercenary_Information_6,27644717551635,,보스를 제외한 적들을 밧줄로 포획하여 끌어당깁니다.,,Captures and attracts enemies except the boss with a rope.,,ボス以外の敵をロープで捕獲し、引き寄せます。,
